Technology,t,LCOE/S
Gas CCGT,7.4,148.95399823232947
Gas CCGT,7.5,148.50982404062975
Gas CCGT,7.6,148.07733864344837
Gas CCGT,7.7,147.6560866332068
Gas CCGT,7.8,147.24563595656122
Gas CCGT,7.9,146.84557643628636
Gas CCGT,8.0,146.45551840401842
Gas CCGT,8.1,146.0750914342756
Gas CCGT,8.2,145.7039431711118
Gas CCGT,8.3,145.3417382395906
Gas CCGT,8.4,144.98815723501036
Gas CCGT,8.5,144.64289578347902
Gas CCGT,8.6,144.30566366802984
Gas CCGT,8.7,143.97618401500483
Gas CCGT,8.8,143.65419253591213
Gas CCGT,8.9,143.33943682039455
Gas CCGT,9.0,143.03167567633295
Gas CCGT,9.1,142.7306785134595
Gas CCGT,9.2,142.43622476717022
Gas CCGT,9.3,142.14810335951088
Gas CCGT,9.4,141.8661121945677
Gas CCGT,9.5,141.5900576857285
Gas CCGT,9.6,141.3197543124902
Gas CCGT,9.7,141.05502420467948
Gas CCGT,9.8,140.79569675213008
Gas CCGT,9.9,140.5416082380162
Gas CCGT,10.0,140.29260149418457
Gas CCGT,10.1,140.0485255769634
Gas CCGT,10.2,139.80923546204068
Gas CCGT,10.3,139.5745917571165
Gas CCGT,10.4,139.34446043113317
Gas CCGT,10.5,139.11871255897807
Gas CCGT,10.6,138.89722408063722
Gas CCGT,10.7,138.6798755738541
Gas CCGT,10.8,138.46655203941899
Gas CCGT,10.9,138.25714269827608
Gas CCGT,11.0,138.0515407996995
Gas CCGT,11.1,137.849643439836
Gas CCGT,11.2,137.65135138996996
Gas CCGT,11.3,137.45656893390702
Gas CCGT,11.4,137.2652037139153
Gas CCGT,11.5,137.07716658470605
Gas CCGT,11.6,136.89237147496584
Gas CCGT,11.7,136.71073525599047
Gas CCGT,11.8,136.53217761699779
Gas CCGT,11.9,136.35662094672765
Gas CCGT,12.0,136.183990220962
Gas CCGT U,0.1,2976.58466522382
Gas CCGT U,0.2,1565.8589967921648
Gas CCGT U,0.3,1095.6171073149467
Gas CCGT U,0.4,860.4961625763369
Gas CCGT U,0.5,719.4235957331714
Gas CCGT U,0.6,625.3752178377282
Gas CCGT U,0.7,558.197805055268
Gas CCGT U,0.8,507.81474546842315
Gas CCGT U,0.9,468.62792134532174
Gas CCGT U,1.0,437.2784620468405
Gas CCGT U,1.1,411.6289044389922
Gas CCGT U,1.2,390.2542730991188
Gas CCGT U,1.3,372.16804658076404
Gas CCGT U,1.4,356.66556670788873
Gas CCGT U,1.5,343.2300841513968
Gas CCGT U,1.6,331.47403691446624
Gas CCGT U,1.7,321.1010540583514
Gas CCGT U,1.8,311.88062485291556
Gas CCGT U,1.9,303.63076714278884
Gas CCGT U,2.0,296.20589520367497
Gas CCGT U,2.1,289.488153925429
Gas CCGT U,2.2,283.3811163997508
Gas CCGT U,2.3,277.80512561543594
Gas CCGT U,2.4,272.69380072981414
Gas CCGT U,2.5,267.99138183504186
Gas CCGT U,2.6,263.6506874706367
Gas CCGT U,2.7,259.6315260221136
Gas CCGT U,2.8,255.89944753419908
Gas CCGT U,2.9,252.4247537695891
Gas CCGT U,3.0,249.18170625595312
Gas CCGT U,3.1,246.1478876141646
Gas CCGT U,3.2,243.3036826374878
Gas CCGT U,3.3,240.63185372000376
Gas CCGT U,3.4,238.11719120943042
Gas CCGT U,3.5,235.74622369946113
Gas CCGT U,3.6,233.5069766067125
Gas CCGT U,3.7,231.38876989735562
Gas CCGT U,3.8,229.38204775164914
Gas CCGT U,3.9,227.47823443392755
Gas CCGT U,4.0,225.66961178209215
Gas CCGT U,4.1,223.94921462546816
Gas CCGT U,4.2,222.31074114296925
Gas CCGT U,4.3,220.7484757294236
Gas CCGT U,4.4,219.25722238013012
Gas CCGT U,4.5,217.8322469574719
Gas CCGT U,4.6,216.46922698797266
Gas CCGT U,4.7,215.16420786823946
Gas CCGT U,4.8,213.91356454516182
Gas CCGT U,4.9,212.713967888332
Gas CCGT U,5.0,211.56235509777565
Gas CCGT U,5.1,210.45590359312337
Gas CCGT U,5.2,209.39200791557303
Gas CCGT U,5.3,208.36825924472276
Gas CCGT U,5.4,207.3824271913115
Gas CCGT U,5.5,206.43244357620605
Gas CCGT U,5.6,205.51638794735427
Gas CCGT U,5.7,204.6324746212693
Gas CCGT U,5.8,203.77904106504928
Gas CCGT U,5.9,202.95453745988758
Gas CCGT U,6.0,202.1575173082313
Gas CCGT U,6.1,201.38662896482603
Gas CCGT U,6.2,200.640607987337
Gas CCGT U,6.3,199.91827021548258
Gas CCGT U,6.4,199.21850549899858
Gas CCGT U,6.5,198.5402720045604
Gas CCGT U,6.6,197.88259104025656
Gas CCGT U,6.7,197.24454234354388
Gas CCGT U,6.8,196.62525978496996
Gas CCGT U,6.9,196.023927445485
Gas CCGT U,7.0,195.43977602998524
Gas CCGT U,7.1,194.87207958393623
Gas CCGT U,7.2,194.32015248361094
Gas CCGT U,7.3,193.7833466737055
Gas CCGT U,7.4,193.2610491289325
Gas CCGT U,7.5,192.75267951868696
Gas CCGT U,7.6,192.25768805607927
Gas CCGT U,7.7,191.77555351457835
Gas CCGT U,7.8,191.30578139721845
Gas CCGT U,7.9,190.8479022448551
Gas CCGT U,8.0,190.4014700713008
Gas CCGT U,8.1,189.96606091437746
Gas CCGT U,8.2,189.54127149298878
Gas CCGT U,8.3,189.1267179612722
Gas CCGT U,8.4,188.72203475173936
Gas CCGT U,8.5,188.3268735000777
Gas CCGT U,8.6,187.9409020449665
Gas CCGT U,8.7,187.56380349686938
Gas CCGT U,8.8,187.19527537031976
Gas CCGT U,8.9,186.83502877470397
Gas CCGT U,9.0,186.48278765899067
Gas CCGT U,9.1,186.13828810626015
Gas CCGT U,9.2,185.80127767424102
Gas CCGT U,9.3,185.47151477839446
Gas CCGT U,9.4,185.14876811437446
Gas CCGT U,9.5,184.83281611696532
Gas CCGT U,9.6,184.52344645283566
Gas CCGT U,9.7,184.22045554466732
Gas CCGT U,9.8,183.9236481244207
Gas CCGT U,9.9,183.63283681367415
Gas CCGT U,10.0,183.3478417291426
Gas CCGT U,10.1,183.06849011163138
Gas CCGT U,10.2,182.79461597681637
Gas CCGT U,10.3,182.52605978636674
Gas CCGT U,10.4,182.26266813804122
Gas CCGT U,10.5,182.0042934734933
Gas CCGT U,10.6,181.75079380261607
Gas CCGT U,10.7,181.502032443344
Gas CCGT U,10.8,181.25787777591046
Gas CCGT U,10.9,181.01820301063148
Gas CCGT U,11.0,180.78288596835776
Gas CCGT U,11.1,180.55180887279155
Gas CCGT U,11.2,180.3248581539318
Gas CCGT U,11.3,180.10192426195468
Gas CCGT U,11.4,179.88290149088937
Gas CCGT U,11.5,179.66768781149477
Gas CCGT U,11.6,179.45618471277936
Gas CCGT U,11.7,179.24829705164882
Gas CCGT U,11.8,179.04393291019852
Gas CCGT U,11.9,178.84300346020112
Gas CCGT U,12.0,178.64542283437035
Gas OCGT L,0.1,1626.332196047595
Gas OCGT L,0.2,870.440483514352
Gas OCGT L,0.3,618.476579336604
Gas OCGT L,0.4,492.49462724773036
Gas OCGT L,0.5,416.90545599440605
Gas OCGT L,0.6,366.51267515885627
Gas OCGT L,0.7,330.51783170489233
Gas OCGT L,0.8,303.5216991144195
Gas OCGT L,0.9,282.5247070996072
Gas OCGT L,1.0,265.7271134877574
Gas OCGT L,1.1,251.98362780533466
Gas OCGT L,1.2,240.53072306998246
Gas OCGT L,1.3,230.8398036785307
Gas OCGT L,1.4,222.5333013430005
Gas OCGT L,1.5,215.33433265220776
Gas OCGT L,1.6,209.03523504776408
Gas OCGT L,1.7,203.47720774972558
Gas OCGT L,1.8,198.53673904035796
Gas OCGT L,1.9,194.11631966881856
Gas OCGT L,2.0,190.13794223443307
Gas OCGT L,2.1,186.53845788903658
Gas OCGT L,2.2,183.26619939322168
Gas OCGT L,2.3,180.27848511443415
Gas OCGT L,2.4,177.53974702554555
Gas OCGT L,2.5,175.0201079837681
Gas OCGT L,2.6,172.69428732981967
Gas OCGT L,2.7,170.54074968727483
Gas OCGT L,2.8,168.54103616205455
Gas OCGT L,2.9,166.67923391443586
Gas OCGT L,3.0,164.94155181665823
Gas OCGT L,3.1,163.3159782413179
Gas OCGT L,3.2,161.7920030144364
Gas OCGT L,3.3,160.36038992251744
Gas OCGT L,3.4,159.01298936541713
Gas OCGT L,3.5,157.7425831258655
Gas OCGT L,3.6,156.54275501073332
Gas OCGT L,3.7,155.4077824693922
Gas OCGT L,3.8,154.33254532496363
Gas OCGT L,3.9,153.31244854691604
Gas OCGT L,4.0,152.34335660777091
Gas OCGT L,4.1,151.42153744614507
Gas OCGT L,4.2,150.5436144350726
Gas OCGT L,4.3,149.70652505242236
Gas OCGT L,4.4,148.90748518716518
Gas OCGT L,4.5,148.1439582048084
Gas OCGT L,4.6,147.4136280477714
Gas OCGT L,4.7,146.7143757697573
Gas OCGT L,4.8,146.0442590033271
Gas OCGT L,4.9,145.40149394164925
Gas OCGT L,5.0,144.78443948243836
Gas OCGT L,5.1,144.1915832373143
Gas OCGT L,5.2,143.62152915546417
Gas OCGT L,5.3,143.072986548401
Gas OCGT L,5.4,142.54476033419178
Gas OCGT L,5.5,142.0357423459539
Gas OCGT L,5.6,141.5449035715816
Gas OCGT L,5.7,141.07128721034533
Gas OCGT L,5.8,140.6140024477723
Gas OCGT L,5.9,140.1722188635915
Gas OCGT L,6.0,139.74516139888348
Gas OCGT L,6.1,139.33210581826418
Gas OCGT L,6.2,138.9323746112133
Gas OCGT L,6.3,138.54533328375143
Gas OCGT L,6.4,138.17038699777254
Gas OCGT L,6.5,137.80697752059308
Gas OCGT L,6.6,137.4545804518131
Gas OCGT L,6.7,137.11270269851897
Gas OCGT L,6.8,136.78088017326291
Gas OCGT L,6.9,136.4586756922172
Gas OCGT L,7.0,136.14567705348713
Gas OCGT L,7.1,135.84149527781977
Gas OCGT L,7.2,135.54576299592102
Gas OCGT L,7.3,135.25813296832087
Gas OCGT L,7.4,134.97827672525048
Gas OCGT L,7.5,134.70588331532855
Gas OCGT L,7.6,134.4406581530362
Gas OCGT L,7.7,134.18232195599813
Gas OCGT L,7.8,133.93060976401236
Gas OCGT L,7.9,133.68527003258316
Gas OCGT L,8.0,133.44606379443982
Gas OCGT L,8.1,133.21276388316414
Gas OCGT L,8.2,132.98515421362688
Gas OCGT L,8.3,132.76302911443983
Gas OCGT L,8.4,132.54619270809064
Gas OCGT L,8.5,132.33445833483208
Gas OCGT L,8.6,132.1276480167655
Gas OCGT L,8.7,131.92559195888444
Gas OCGT L,8.8,131.7281280841369
Gas OCGT L,8.9,131.5351015998332
Gas OCGT L,9.0,131.34636459295854
Gas OCGT L,9.1,131.16177565216898
Gas OCGT L,9.2,130.98119951444005
Gas OCGT L,9.3,130.8045067345118
Gas OCGT L,9.4,130.631573375433
Gas OCGT L,9.5,130.46228071865062
Gas OCGT L,9.6,130.29651499221788
Gas OCGT L,9.7,130.13416711581482
Gas OCGT L,9.8,129.97513246137896
Gas OCGT L,9.9,129.8193106282449
Gas OCGT L,10.0,129.6666052317735
Gas OCGT L,10.1,129.51692370453924
Gas OCGT L,10.2,129.3701771092115
Gas OCGT L,10.3,129.22627996233675
Gas OCGT L,10.4,129.08515006828642
Gas OCGT L,10.5,128.9467083626943
Gas OCGT L,10.6,128.8108787647549
Gas OCGT L,10.7,128.67758803780484
Gas OCGT L,10.8,128.54676565765024
Gas OCGT L,10.9,128.4183436881407
Gas OCGT L,11.0,128.29225666353128
Gas OCGT L,11.1,128.16844147720323
Gas OCGT L,11.2,128.04683727634514
Gas OCGT L,11.3,127.92738536222802
Gas OCGT L,11.4,127.81002909572703
Gas OCGT L,11.5,127.69471380777385
Gas OCGT L,11.6,127.58138671444048
Gas OCGT L,11.7,127.46999683637786
Gas OCGT L,11.8,127.36049492235009
Gas OCGT L,11.9,127.25283337662536
Gas OCGT L,12.0,127.14696618999608
Gas OCGT,0.1,2034.1062017787413
Gas OCGT,0.2,1104.6622241886207
Gas OCGT,0.3,794.8475649919135
Gas OCGT,0.4,639.9402353935603
Gas OCGT,0.5,546.9958376345484
Gas OCGT,0.6,485.0329057952067
Gas OCGT,0.7,440.77366876710573
Gas OCGT,0.8,407.57924099603014
Gas OCGT,0.9,381.7613527296379
Gas OCGT,1.0,361.10704211652416
Gas OCGT,1.1,344.20806070579465
Gas OCGT,1.2,330.12557619685333
Gas OCGT,1.3,318.20962776621076
Gas OCGT,1.4,307.9959576828029
Gas OCGT,1.5,299.14411027718273
Gas OCGT,1.6,291.39874379726507
Gas OCGT,1.7,284.5645969032202
Gas OCGT,1.8,278.4897996640689
Gas OCGT,1.9,273.05445476588113
Gas OCGT,2.0,268.16264435751214
Gas OCGT,2.1,263.73672065470197
Gas OCGT,2.2,259.71315365214735
Gas OCGT,2.3,256.0394620411191
Gas OCGT,2.4,252.67191139767664
Gas OCGT,2.5,249.57376480570966
Gas OCGT,2.6,246.71393718235538
Gas OCGT,2.7,244.06594864221265
Gas OCGT,2.8,241.60710214065142
Gas OCGT,2.9,239.31783125988767
Gas OCGT,3.0,237.18117843784142
Gas OCGT,3.1,235.18237418495937
Gas OCGT,3.2,233.30849519788256
Gas OCGT,3.3,231.54818463426489
Gas OCGT,3.4,229.8914217508601
Gas OCGT,3.5,228.32933103222123
Gas OCGT,3.6,226.8540231312845
Gas OCGT,3.7,225.45846160337157
Gas OCGT,3.8,224.1363506821906
Gas OCGT,3.9,222.8820403210703
Gas OCGT,4.0,221.6904454780061
Gas OCGT,4.1,220.5569772126524
Gas OCGT,4.2,219.47748362660099
Gas OCGT,4.3,218.4481990445521
Gas OCGT,4.4,217.46570012532368
Gas OCGT,4.5,216.52686782472765
Gas OCGT,4.6,215.6288543198096
Gas OCGT,4.7,214.76905415552636
Gas OCGT,4.8,213.9450789980883
Gas OCGT,4.9,213.15473547972945
Gas OCGT,5.0,212.39600570210487
Gas OCGT,5.1,211.66703003340675
Gas OCGT,5.2,210.96609189042766
Gas OCGT,5.3,210.29160424341026
Gas OCGT,5.4,209.64209762035634
Gas OCGT,5.5,209.01620941995898
Gas OCGT,5.6,208.4126743695757
Gas OCGT,5.7,207.83031598762707
Gas OCGT,5.8,207.26803892919386
Gas OCGT,5.9,206.72482211002952
Gas OCGT,6.0,206.19971251817074
Gas OCGT,6.1,205.6918196342416
Gas OCGT,6.2,205.20031039172972
Gas OCGT,6.3,204.7244046172341
Gas OCGT,6.4,204.26337089819128
Gas OCGT,6.5,203.81652283204218
Gas OCGT,6.6,203.38321561638244
Gas OCGT,6.7,202.96284294447375
Gas OCGT,6.8,202.5548341746801
Gas OCGT,6.9,202.15865174603974
Gas OCGT,7.0,201.77378881536063
Gas OCGT,7.1,201.39976709399645
Gas OCGT,7.2,201.0361348648923
Gas OCGT,7.3,200.68246516261289
Gas OCGT,7.4,200.33835410093585
Gas OCGT,7.5,200.00341933423655
Gas OCGT,7.6,199.67729864034533
Gas OCGT,7.7,199.35964861382786
Gas OCGT,7.8,199.05014345978515
Gas OCGT,7.9,198.74847387926252
Gas OCGT,8.0,198.45434603825308
Gas OCGT,8.1,198.16748061307095
Gas OCGT,8.2,197.88761190557625
Gas OCGT,8.3,197.6144870223583
Gas OCGT,8.4,197.3478651125505
Gas OCGT,8.5,197.08751665944413
Gas OCGT,8.6,196.83322282152608
Gas OCGT,8.7,196.58477481896256
Gas OCGT,8.8,196.34197336191184
Gas OCGT,8.9,196.10462811737912
Gas OCGT,9.0,195.87255721161384
Gas OCGT,9.1,195.64558676531578
Gas OCGT,9.2,195.42355045915477
Gas OCGT,9.3,195.2062891273198
Gas OCGT,9.4,194.99365037701318
Gas OCGT,9.5,194.78548823197625
Gas OCGT,9.6,194.58166279829416
Gas OCGT,9.7,194.3820399508737
Gas OCGT,9.8,194.18649103911474
Gas OCGT,9.9,193.99489261042157
Gas OCGT,10.0,193.80712615030245
Gas OCGT,10.1,193.6230778379083
Gas OCGT,10.2,193.4426383159534
Gas OCGT,10.3,193.26570247403637
Gas OCGT,10.4,193.0921692444638
Gas OCGT,10.5,192.9219414097404
Gas OCGT,10.6,192.7549254209552
Gas OCGT,10.7,192.5910312263527
Gas OCGT,10.8,192.4301721094282
Gas OCGT,10.9,192.27226453593337
Gas OCGT,11.0,192.1172280092295
Gas OCGT,11.1,191.96498493345723
Gas OCGT,11.2,191.81546048403783
Gas OCGT,11.3,191.66858248505082
Gas OCGT,11.4,191.52428129306358
Gas OCGT,11.5,191.38248968702388
Gas OCGT,11.6,191.24314276384695
Gas OCGT,11.7,191.10617783935677
Gas OCGT,11.8,190.97153435426475
Gas OCGT,11.9,190.83915378488857
Gas OCGT,12.0,190.7089795583354
Gas OCGT U,0.1,2619.3237784727958
Gas OCGT U,0.2,1427.6057503443437
Gas OCGT U,0.3,1030.366407634859
Gas OCGT U,0.4,831.7467362801174
Gas OCGT U,0.5,712.5749334672722
Gas OCGT U,0.6,633.1270649253752
Gas OCGT U,0.7,576.3785873954488
Gas OCGT U,0.8,533.8172292480043
Gas OCGT U,0.9,500.71395068888063
Gas OCGT U,1.0,474.2313278415818
Gas OCGT U,1.1,452.56372733015513
Gas OCGT U,1.2,434.5073935706332
Gas OCGT U,1.3,419.2289573125762
Gas OCGT U,1.4,406.13315480566996
Gas OCGT U,1.5,394.783459299685
Gas OCGT U,1.6,384.85247573194783
Gas OCGT U,1.7,376.08984317217977
Gas OCGT U,1.8,368.300836452386
Gas OCGT U,1.9,361.33172517678105
Gas OCGT U,2.0,355.0595250287366
Gas OCGT U,2.1,349.3846772757438
Gas OCGT U,2.2,344.2257247730232
Gas OCGT U,2.3,339.5153768357566
Gas OCGT U,2.4,335.1975578932622
Gas OCGT U,2.5,331.2251644661674
Gas OCGT U,2.6,327.55833976423366
Gas OCGT U,2.7,324.1631317068877
Gas OCGT U,2.8,321.01043851078055
Gas OCGT U,2.9,318.07517243164676
Gas OCGT U,3.0,315.3355907577881
Gas OCGT U,3.1,312.77275628869467
Gas OCGT U,3.2,310.37009897391954
Gas OCGT U,3.3,308.1130572539794
Gas OCGT U,3.4,305.98878269403554
Gas OCGT U,3.5,303.985895251803
Gas OCGT U,3.6,302.09427933413866
Gas OCGT U,3.7,300.30491292553756
Gas OCGT U,3.8,298.60972369633623
Gas OCGT U,3.9,297.0014672481196
Gas OCGT U,4.0,295.473623622314
Gas OCGT U,4.1,294.0203089538647
Gas OCGT U,4.2,292.63619974581746
Gas OCGT U,4.3,291.3164677102379
Gas OCGT U,4.4,290.05672349445723
Gas OCGT U,4.5,288.85296791048916
Gas OCGT U,4.6,287.70154952582396
Gas OCGT U,4.7,286.59912766816575
Gas OCGT U,4.8,285.54264005457674
Gas OCGT U,4.9,284.52927438439957
Gas OCGT U,5.0,283.55644334102936
Gas OCGT U,5.1,282.6217625346541
Gas OCGT U,5.2,281.7230309900625
Gas OCGT U,5.3,280.85821384338027
Gas OCGT U,5.4,280.02542696138954
Gas OCGT U,5.5,279.2229232387441
Gas OCGT U,5.6,278.4490803633359
Gas OCGT U,5.7,277.7023898695212
Gas OCGT U,5.8,276.9814473237691
Gas OCGT U,5.9,276.28494350838116
Gas OCGT U,6.0,275.6116564868397
Gas OCGT U,6.1,274.9604444496109
Gas OCGT U,6.2,274.3302392522929
Gas OCGT U,6.3,273.7200405691756
Gas OCGT U,6.4,273.12891059490545
Gas OCGT U,6.5,272.55596923522836
Gas OCGT U,6.6,272.00038973493537
Gas OCGT U,6.7,271.46139469733765
Gas OCGT U,6.8,270.9382524549634
Gas OCGT U,6.9,270.43027375584654
Gas OCGT U,7.0,269.9368087338472
Gas OCGT U,7.1,269.45724413500267
Gas OCGT U,7.2,268.991000775015
Gas OCGT U,7.3,268.5375312057119
Gas OCGT U,7.4,268.09631757071446
Gas OCGT U,7.5,267.66686963265
Gas OCGT U,7.6,267.2487229561138
Gas OCGT U,7.7,266.84143723221484
Gas OCGT U,7.8,266.44459473200544
Gas OCGT U,7.9,266.0577988773711
Gas OCGT U,8.0,265.6806729191027
Gas OCGT U,8.1,265.31285871289015
Gas OCGT U,8.2,264.954015584878
Gas OCGT U,8.3,264.6038192792274
Gas OCGT U,8.4,264.2619609808544
Gas OCGT U,8.5,263.9281464071491
Gas OCGT U,8.6,263.6020949630646
Gas OCGT U,8.7,263.28353895447646
Gas OCGT U,8.8,262.97222285517427
Gas OCGT U,8.9,262.66790262327214
Gas OCGT U,9.0,262.3703450631902
Gas OCGT U,9.1,262.07932722970344
Gas OCGT U,9.2,261.79463587085763
Gas OCGT U,9.3,261.5160669068257
Gas OCGT U,9.4,261.2434249420285
Gas OCGT U,9.5,260.9765228080692
Gas OCGT U,9.6,260.715181135234
Gas OCGT U,9.7,260.4592279504986
Gas OCGT U,9.8,260.2084983001455
Gas OCGT U,9.9,259.96283389525394
Gas OCGT U,10.0,259.72208277846033
Gas OCGT U,10.1,259.4860990105141
Gas OCGT U,10.2,259.25474237527266
Gas OCGT U,10.3,259.02787810188073
Gas OCGT U,10.4,258.8053766029769
Gas OCGT U,10.5,258.58711322786183
Gas OCGT U,10.6,258.3729680296359
Gas OCGT U,10.7,258.1628255453951
Gas OCGT U,10.8,257.9565745886404
Gas OCGT U,10.9,257.75410805311054
Gas OCGT U,11.0,257.55532272731773
Gas OCGT U,11.1,257.3601191191067
Gas OCGT U,11.2,257.1684012896135
Gas OCGT U,11.3,256.98007669604095
Gas OCGT U,11.4,256.7950560427063
Gas OCGT U,11.5,256.6132531398644
Gas OCGT U,11.6,256.4345847698303
Gas OCGT U,11.7,256.2589705599674
Gas OCGT U,11.8,256.0863328621362
Gas OCGT U,11.9,255.9165966382182
Gas OCGT U,12.0,255.7496893513655
